,0
0,15.2
1,42.3
2,50.0
3,21.1
4,17.7
5,18.5
6,11.3
7,15.6
8,15.6
9,14.4
10,12.1
11,17.9
12,23.1
13,19.9
14,15.7
15,8.8
16,50.0
17,22.5
18,24.1
19,27.5
20,10.9
21,30.8
22,32.9
23,24.0
24,18.5
25,13.3
26,22.9
27,34.7
28,16.6
29,17.5
30,22.3
31,16.1
32,14.9
33,23.1
34,34.9
35,25.0
36,13.9
37,13.1
38,20.4
39,20.0
40,15.2
41,24.7
42,22.2
43,16.7
44,12.7
45,15.6
46,18.4
47,21.0
48,30.1
49,15.1
50,18.7
51,9.6
52,31.5
53,24.8
54,19.1
55,22.0
56,14.5
57,11.0
58,32.0
59,29.4
60,20.3
61,24.4
62,14.6
63,19.5
64,14.1
65,14.3
66,15.6
67,10.5
68,6.3
69,19.3
70,19.3
71,13.4
72,36.4
73,17.8
74,13.5
75,16.5
76,8.3
77,14.3
78,16.0
79,13.4
80,28.6
81,43.5
82,20.2
83,22.0
84,23.0
85,20.7
86,12.5
87,48.5
88,14.6
89,13.4
90,23.7
91,50.0
92,21.7
93,39.8
94,38.7
95,22.2
96,34.9
97,22.5
98,31.1
99,28.7
100,46.0
101,41.7
102,21.0
103,26.6
104,15.0
105,24.4
106,13.3
107,21.2
108,11.7
109,21.7
110,19.4
111,50.0
112,22.8
113,19.7
114,24.7
115,36.2
116,14.2
117,18.9
118,18.3
119,20.6
120,24.6
121,18.2
122,8.7
123,44.0
124,10.4
125,13.2
126,21.2
127,37.0
128,30.7
129,22.9
130,20.0
131,19.3
132,31.7
133,32.0
134,23.1
135,18.8
136,10.9
137,50.0
138,19.6
139,5.0
140,14.4
141,19.8
142,13.8
143,19.6
144,23.9
145,24.5
146,25.0
147,19.9
148,17.2
149,24.6
150,13.5
151,26.6
152,21.4
153,11.9
154,22.6
155,19.6
156,8.5
157,23.7
158,23.1
159,22.4
160,20.5
161,23.6
162,18.4
163,35.2
164,23.1
165,27.9
166,20.6
167,23.7
168,28.0
169,13.6
170,27.1
171,23.6
172,20.6
173,18.2
174,21.7
175,17.1
176,8.4
177,25.3
178,13.8
179,22.2
180,18.4
181,20.7
182,31.6
183,30.5
184,20.3
185,8.8
186,19.2
187,19.4
188,23.1
189,23.0
190,14.8
191,48.8
192,22.6
193,33.4
194,21.1
195,13.6
196,32.2
197,13.1
198,23.4
199,18.9
200,23.9
201,11.8
202,23.3
203,22.8
204,19.6
205,16.7
206,13.4
207,22.2
208,20.4
209,21.8
210,26.4
211,14.9
212,24.1
213,23.8
214,12.3
215,29.1
216,21.0
217,19.5
218,23.3
219,23.8
220,17.8
221,11.5
222,21.7
223,19.9
224,25.0
225,33.4
226,28.5
227,21.4
228,24.3
229,27.5
230,33.1
231,16.2
232,23.3
233,48.3
234,22.9
235,22.8
236,13.1
237,12.7
238,22.6
239,15.0
240,15.3
241,10.5
242,24.0
243,18.5
244,21.7
245,19.5
246,33.2
247,23.2
248,5.0
249,19.1
250,12.7
251,22.3
252,10.2
253,13.9
254,16.3
255,17.0
256,20.1
257,29.9
258,17.2
259,37.3
260,45.4
261,17.8
262,23.2
263,29.0
264,22.0
265,18.0
266,17.4
267,34.6
268,20.1
269,25.0
270,15.6
271,24.8
272,28.2
273,21.2
274,21.4
275,23.8
276,31.0
277,26.2
278,17.4
279,37.9
280,17.5
281,20.0
282,8.3
283,23.9
284,8.4
285,13.8
286,7.2
287,11.7
288,17.1
289,21.6
290,50.0
291,16.1
292,20.4
293,20.6
294,21.4
295,20.6
296,36.5
297,8.5
298,24.8
299,10.8
300,21.9
301,17.3
302,18.9
303,36.2
304,14.9
305,18.2
306,33.3
307,21.8
308,19.7
309,31.6
310,24.8
311,19.4
312,22.8
313,7.5
314,44.8
315,16.8
316,18.7
317,50.0
318,50.0
319,19.5
320,20.1
321,50.0
322,17.2
323,20.8
324,19.3
325,41.3
326,20.4
327,20.5
328,13.8
329,16.5
330,23.9
331,20.6
332,31.5
333,23.3
334,16.8
335,14.0
336,33.8
337,36.1
338,12.8
339,18.3
340,18.7
341,19.1
342,29.0
343,30.1
344,50.0
345,50.0
346,22.0
347,11.9
348,37.6
349,50.0
350,22.7
351,20.8
352,23.5
353,27.9
354,50.0
355,19.3
356,23.9
357,22.6
358,15.2
359,21.7
360,19.2
361,43.8
362,20.3
363,33.2
364,19.9
365,22.5
366,32.7
367,22.0
368,17.1
369,19.0
370,15.0
371,16.1
372,25.1
373,23.7
374,28.7
375,37.2
376,22.6
377,16.4
378,25.0
379,29.8
380,22.1
381,17.4
382,18.1
383,30.3
384,17.5
385,24.7
386,12.6
387,26.5
388,28.7
389,13.3
390,10.4
391,24.4
392,23.0
393,20.0
394,17.8
395,7.0
396,11.8
397,24.4
398,13.8
399,19.4
400,25.2
401,19.4
402,19.4
403,29.1
